name,verdict,blur_type,peak_edge_width,anisotropy,highlight_clip_pct,shadow_crush_pct,face_count,burst_group,burst_rank,burst_size,rating,label,iso,shutter,aperture,focal,reasons
blurred.png,reject,defocus,3.131,0.072,0.0,0.0,0,0,3,3,1,red,,,,,失焦，边缘宽度3.13
dark.png,review,soft,0.717,0.034,0.0,1.535,0,0,2,3,3,yellow,,,,,略欠锐，边缘宽度0.72，可能是轻微失焦或镜头软
source.png,keep,sharp,0.587,0.139,0.0,0.091,0,0,1,3,5,green,,,,,
