position,path,filename,sha256,captured_at,orientation,luma,saturation,edge_density,sharpness
1,../input/source.png,source.png,46ee2f2a65fb061ab5adeeee0431e483f1303352fa5766d99670c93bbe9fbea9,,landscape,0.501961,0.210365,0.236491,2582.926025
2,../input/animal.png,animal.png,4411154430573519094e0e88594c5448be4c88bc2fdb992df3612aa6f280546f,,landscape,0.403922,0.373214,0.305501,2342.380859
3,../input/portrait.png,portrait.png,98a89fe2be46c97fd999c3118f5236a0cb0e8c75432c38453e572b20694dddcc,,landscape,0.447059,0.146358,0.16036,1270.937988
