page,slot,row,column,source_path,source_sha256,source_width_px,source_height_px,slot_mm,destination_mm,source_crop_px,effective_ppi,has_icc_profile,warnings
1,1,1,1,../input/source.png,7cd1639926e380d69ede2ad1c4164243bcdde24c3326dc4f71f9bf8071631a37,1152,768,"[20.0, 20.0, 87.5, 131.0]","[20.0, 56.3333, 87.5, 58.3333]","[0, 0, 1152, 768]",334.41,False,source has no embedded ICC profile
1,2,1,2,../input/city.png,826f119434d21483f9542e0ffe6a2814ace130ae1b977a8b62efee1900650e7d,1536,1024,"[112.5, 20.0, 87.5, 131.0]","[112.5, 56.3333, 87.5, 58.3333]","[0, 0, 1536, 1024]",445.88,False,source has no embedded ICC profile
1,3,2,1,../input/portrait.png,98a89fe2be46c97fd999c3118f5236a0cb0e8c75432c38453e572b20694dddcc,1536,1024,"[20.0, 156.0, 87.5, 131.0]","[20.0, 192.3333, 87.5, 58.3333]","[0, 0, 1536, 1024]",445.88,False,source has no embedded ICC profile
